time,place,mag,magType,latitude,longitude,depth
1676648078971,"23 km SW of Kovancılar, Turkey",4.5,mb,38.5844,39.6476,10
1676576869648,central Turkey,5.2,mww,36.1764,35.7911,10
1676558742064,"14 km NNW of Doğanşehir, Turkey",4.5,mb,38.2035,37.8096,10
1676546183422,"26 km W of Yayladağı, Turkey",4.8,mww,35.9277,35.768,10
1676446590670,"1 km WSW of Göksun, Turkey",4.6,mb,38.0139,36.48,10
1676316027585,"6 km W of Göksun, Turkey",4.8,mb,38.0201,36.4179,4.929
1676242379864,central Turkey,4.5,mb,38.0276,36.6322,10
1676226795503,"24 km SSE of Kahramanmaraş, Turkey",4.7,mb,37.3899,37.048,15.731
1676219389720,"7 km E of Hekimhan, Turkey",4.9,mb,38.8053,38.015,10
1676208554930,"8 km ESE of Çelikhan, Turkey",4.6,mb,38.0009,38.3289,10
1676121000015,"13 km ENE of Hekimhan, Turkey",4.6,mb,38.8618,38.0668,12.132
1676102142595,"15 km NNE of Musabeyli, Turkey",4.5,mb,37.0141,36.9831,7.232
1676096893065,"9 km ESE of Göksun, Turkey",4.6,mb,37.9814,36.5916,10
1676048452253,"24 km SE of Saimbeyli, Turkey",4.9,mww,37.8433,36.3069,10
1676004624897,"15 km SSW of Yeşilyurt, Turkey",4.8,mb,38.175,38.1644,10
1675993860509,central Turkey,4.9,mb,37.8402,36.6189,10
1675927096806,"18 km NNE of Aşağı Karafakılı, Turkey",4.8,mb,36.924,36.6528,5.145
1675914739732,"7 km WSW of Sincik, Turkey",4.5,mb,38.0056,38.5425,14.891
1675887126247,"13 km SW of Yeşilyurt, Turkey",4.5,mb,38.2099,38.1438,10
1675879043222,eastern Turkey,4.5,mb,39.7838,40.7847,10
1675866025727,"1 km E of Nurhak, Turkey",5.1,mww,37.9629,37.458,5.867
1675855441531,"14 km ESE of Nurhak, Turkey",4.6,mb,37.9186,37.5934,8.695
1675854712720,"18 km N of Gölbaşı, Turkey",5.4,mww,37.9467,37.6523,7.457
1675851983732,"19 km NNE of Musabeyli, Turkey",4.5,mb,37.0457,37.0143,10
1675842512134,"3 km SW of Göksun, Turkey",4.9,mb,37.9993,36.4734,10
1675835557740,"16 km E of Göksun, Turkey",4.6,mb,38.0493,36.6816,10
1675811581426,"14 km WNW of Yayladağı, Turkey",4.5,mb,35.9449,35.9074,10
1675804886864,Central Turkey,4.9,mb,37.8863,37.4652,10
1675799663789,"11 km SSE of Palu, Turkey",4.6,mwr,38.5952,39.9774,10
1675793400474,"11 km SE of Göksun, Turkey",5.3,mww,37.9568,36.5992,21.625
1675784933715,"2 km NW of Göksun, Turkey",5,mww,38.0351,36.4807,8.309
1675783889589,"23 km SW of Pazarcık, Turkey",4.6,mb,37.3122,37.1417,19.481
